,REG_NO,Brand,Model_new,CC,Age,Sale_Price,Prediction,Accuracy
177,MH04JF3313,TVS,JUPITER,110.0,5,48000.0,50109.0,95.60625
178,AP39DV6223,TVS,JUPITER,110.0,3,64915.0,54479.0,83.92359239004851
179,TN66AA8914,BAJAJ,PULSAR 220,220.0,3,117000.0,103302.0,88.29230769230769
183,DL11SQ0744,TVS,APACHE RTR160,160.0,6,77000.0,55761.0,72.41688311688313
185,RJ13FS5452,HERO,HF DELUXE,97.0,3,46882.0,48823.0,95.85981826713878
188,DL11SP7801,TVS,JUPITER,110.0,6,40000.0,48897.0,77.75750000000001
190,DL6SAV5846,HONDA,ACTIVA 125,125.0,5,34000.0,40371.0,81.26176470588236
191,DL9SAW7597,HONDA,SHINE,125.0,6,34240.0,37504.0,90.46728971962617
193,AP39GA4303,BAJAJ,PULSAR 220,220.0,2,125000.0,117421.0,93.9368
195,MH04HE8232,TVS,JUPITER,110.0,7,37000.0,32511.0,87.86756756756758
201,DL8SCX6411,HERO,SPLENDOR PLUS,97.0,1,78000.0,72562.0,93.02820512820513
202,DL1SZ4258,TVS,APACHE RTR160,160.0,6,76000.0,55761.0,73.36973684210525
203,DL8SBW8852,TVS,APACHE RTR160,160.0,6,61500.0,55761.0,90.66829268292683
204,MH05DX5722,HERO,PASSION PRO,110.0,4,51002.0,53200.0,95.69036508372221
208,DL10SZ5349,BAJAJ,CT 100,102.0,1,38400.0,45234.0,82.203125
211,MH05EC9446,TVS,JUPITER,110.0,3,51000.0,54479.0,93.17843137254901
212,DL12SE0957,TVS,JUPITER,110.0,7,30160.0,32511.0,92.20490716180372
213,AP39FK8187,HERO,SPLENDOR PLUS,97.0,2,65000.0,59466.0,91.48615384615385
215,DL4SCX6511,HERO,SPLENDOR PLUS,97.0,4,54376.0,62740.0,84.61821391790497
217,TN30BQ7987,SUZUKI,ACCESS 125,124.0,2,54000.0,58854.0,91.0111111111111
220,DL3SEU1648,TVS,APACHE RTR160,160.0,1,104002.0,102896.0,98.93655891232861
