,Brand,Model_new,CC
422,BAJAJ,PULSAR 150,150.0
423,HONDA,ACTIVA 125,125.0
424,HERO,PASSION PRO,110.0
427,SUZUKI,ACCESS 125,124.0
436,HONDA,SHINE,125.0
438,HONDA,DIO,110.0
442,TVS,JUPITER,110.0
443,TVS,SCOOTY PEPPLUS,88.0
445,BAJAJ,PULSAR 150,150.0
446,HONDA,ACTIVA 125,125.0
451,SUZUKI,ACCESS 125,124.0
454,TVS,SPORT,110.0
455,TVS,JUPITER ZX,110.0
456,HONDA,ACTIVA 125,125.0
459,SUZUKI,ACCESS 125,124.0
461,HERO,HF DELUXE,97.0
466,TVS,APACHE RTR160,160.0
467,HONDA,ACTIVA 125,125.0
468,SUZUKI,ACCESS 125,124.0
469,SUZUKI,ACCESS 125,124.0
470,HERO,PASSION PRO,110.0
472,ROYAL ENFIELD,CLASSIC 350,350.0
473,TVS,SCOOTY PEPPLUS,88.0
475,TVS,JUPITER,110.0
476,TVS,JUPITER,110.0
477,TVS,JUPITER,110.0
482,BAJAJ,PULSAR 220,220.0
485,YAMAHA,FASCINO,113.0
486,YAMAHA,FZS,149.0
492,HERO,SPLENDOR PLUS,97.0
493,HONDA,ACTIVA 125,125.0
495,BAJAJ,PULSAR 150,150.0
496,BAJAJ,CT 100,102.0
498,SUZUKI,ACCESS 125,124.0
503,ROYAL ENFIELD,CLASSIC 350,350.0
506,HERO,HF DELUXE,97.0
509,TVS,SCOOTY PEPPLUS,88.0
510,TVS,APACHE RTR160,160.0
512,BAJAJ,PULSAR 150,150.0
518,HONDA,DIO,110.0
519,HERO,HF DELUXE,97.0
522,HERO,SPLENDOR PLUS,97.0
525,HERO,HF DELUXE,97.0
526,TVS,JUPITER,110.0
527,TVS,APACHE RTR160,160.0
528,YAMAHA,FASCINO,113.0
529,TVS,SCOOTY PEPPLUS,88.0
531,HERO,HF DELUXE,97.0
537,HONDA,ACTIVA 125,125.0
539,HERO,SPLENDOR PLUS,97.0
542,TVS,JUPITER,110.0
544,TVS,XL SUPER,70.0
547,HERO,HF DELUXE,97.0
551,BAJAJ,PULSAR 220,220.0
552,TVS,WEGO,110.0
559,HERO,SPLENDOR PLUS,97.0
561,BAJAJ,PULSAR 150,150.0
562,HONDA,ACTIVA 125,125.0
564,SUZUKI,ACCESS 125,124.0
566,TVS,JUPITER,110.0
569,ROYAL ENFIELD,CLASSIC 350,350.0
573,TVS,JUPITER,110.0
577,ROYAL ENFIELD,CLASSIC 350,350.0
580,HONDA,DIO,110.0
582,HERO,HF DELUXE,97.0
583,TVS,SCOOTY PEPPLUS,88.0
584,BAJAJ,CT 100,102.0
585,HERO,HF DELUXE,97.0
587,HONDA,ACTIVA,110.0
595,TVS,JUPITER,110.0
597,TVS,JUPITER,110.0
598,ROYAL ENFIELD,CLASSIC 350,350.0
600,HERO,SPLENDOR PLUS,97.0
601,TVS,SCOOTY PEP PLUS,88.0
602,TVS,WEGO,110.0
607,TVS,APACHE RTR160,160.0
610,HERO,SPLENDOR PLUS,97.0
617,TVS,JUPITER,110.0
